"id","pop","stationName","latitude","longitude","departement","marque","Gazole","E10","SP98"
"41000014","R","Rue edouard Branly - BLOIS",47.588,47.588,"41","Avia","2.109","2.127","2.181"
"17140001","R","Avenue du Fief Rose - LAGORD",46.1739427831,46.1739427831,"17","Leclerc","1.887","1.864","1.959"
"40150002","R","627 route de Tyrosse - Angresse",43.6590101,43.6590101,"40","Systeme U","1.947","1.896","1.969"
"79000008","R","358 Route d'Aiffres - NIORT",46.304,46.304,"79","Intermarche","1.904","1.874","1.934"
"33270001","R","rue de la gabarre - Bouliac",44.814,44.814,"33","Auchan","1.885","1.879","1.958"
"80590002","R","ROUTE DU TREPORT - GAUVILLE",49.781,49.781,"80","Netto",NA,NA,NA
"72300005","A","AUT A 11 - AIRE DE PARCE OUEST - Parcé-sur-Sarthe",47.807,47.807,"72","Shell","2.189","2.164","2.254"
"11250001","R","100 chemin de la plaine, station service total - Rouffiac d'Aude",43.124,43.124,"11","Total","2.119",NA,NA
"5200001","R","Zone d'Entraigues - Embrun",44.551,44.551,"05","Systeme U","1.914","1.869","1.949"
"63460002","R","151 Avenue Étienne Clémentel - COMBRONDE",45.986,45.986,"63","Esso","02.05",NA,"02.04"
"84000021","R","AVENUE DE L AMANDIER - AVIGNON",43.93515,43.93515,"84","Total Access","1.923","1.86","1.94"
"25500001","R","15 RUE SAINT MICHEL - MORTEAU",47.056,47.056,"25","ROGNON","1.949","1.939","1.999"
"14790001","R","62 Rue du Général Leclerc - VERSON",49.156,49.156,"14","TOTAL","2.009","1.974","2.084"
"31400011","R","56 AVENUE DE RANGUEIL - Toulouse",43.5752524,43.5752524,"31","Avia","2.128","2.085","2.173"
"76400001","R","3 Route de Ganzeville - FéCAMP",49.74874,49.74874,"76","Carrefour Market","1.889",NA,"1.969"
"22560001","R","Rue des Plages - TRéBEURDEN",48.77,48.77,"22","Intermarche","1.899","1.849","1.939"
"3400004","R","RD12 ZONE LA PLAINE BODIN - 65 ROUTE DE MONTBEUGNY - Yzeure",46.5666939,46.5666939,"03","Carrefour Market",NA,NA,NA
"68140003","R","18 Rue Martin Hilti - Munster",48.043,48.043,"68","Systeme U","1.939","1.839","1.959"
"25110001","R","2 Avenue du Général Leclerc - BAUME-LES-DAMES",47.352,47.352,"25","Total","02.01",NA,NA
"10150002","R","ZAC de Creney - PONT-SAINTE-MARIE",48.32753003,48.32753003,"10","Intermarche","1.959","1.909","2.019"
"33130004","R","468 Route de Toulouse - BèGLES",44.79,44.79,"33","Auchan","1.918","1.891","1.97"
"38320006","R","ROCADE SUD - EYBENS",45.151835,45.151835,"38","Total","2.018","1.977","2.087"
"27290001","R","LIEUDIT PONT JOLY CD47 - Saint-Philbert-sur-Risle",49.29473,49.29473,"27","Intermarche","1.929","1.869","1.929"
"53600007","R","route de Sillé - Evron",48.156,48.156,"53","Systeme U","1.909",NA,NA
"72200001","R","ROUTE DES MOLLANS - La Flèche",47.701,47.701,"72","Carrefour Market","1.955","1.908","1.989"
"31490001","R","5 avenue de Lengel - LéGUEVIN",43.602,43.602,"31","Systeme U","1.929","1.919","1.999"
"39140001","R","Rue d'Amont - BLETTERANS",46.746,46.746,"39","Total","2.022","1.981","2.091"
"27560001","R","210, rue de la Croix Vignon - LIEUREY",49.225,49.225,"27","Carrefour Contact",NA,NA,NA
"46420001","R","CD 940 - Lacapelle-Marival",44.724,44.724,"46","Intermarche Contact",NA,NA,NA
"73610002","R","3320 ROUTE DU LAC - Saint-Alban-de-Montbel",45.544,45.544,"73","Avia",NA,NA,NA
"56240003","R","Creis Er Prat - PLOUAY",47.913841,47.913841,"56","Carrefour Market",NA,NA,NA
"62450001","R","Avenue des frères Davion - BAPAUME",50.106,50.106,"62","Carrefour Market","1.907",NA,"1.974"
"87000004","R","282 Rue François Perrin - Limoges",45.825,45.825,"87","Systeme U","1.909","1.865","1.949"
"80440001","R","8 av ,Philéas Fogg - AMIENS-GLISY",49.865,49.865,"80","Casino","1.949","1.899","1.999"
"7200011","R","37 ROUTE D'AUBENAS - LA PRADE - Vesseaux",44.648,44.648,"07","DYNEFF","1.953",NA,NA
"62260003","R","22 ROUTE NATIONALE - Cauchy-à-la-Tour",50.507,50.507,"62","Total","2.013","1.968","2.078"
"2620001","R","12 Rue Nationale - Buironfosse",49.9606036,49.9606036,"02","GULF","1.929","1.959",NA
"59600008","R","Boulevard Lamartine, Quartier de l'Epinette - Maubeuge",50.290129937631,50.290129937631,"59","Carrefour","1.963","1.94","1.999"
"60320001","R","176, Avenue de la Gare - BéTHISY-SAINT-PIERRE",49.298,49.298,"60","Carrefour Market",NA,NA,NA
"55190003","R","ROUTE DÉPARTEMENTALE 36D - PAGNY SUR MEUSE",48.686,48.686,"55","Total Access","1.938","1.898","1.962"
"35230001","R","Rue Mathurin Méheut - NOYAL-CHâTILLON-SUR-SEICHE",48.045,48.045,"35","Systeme U","1.899","1.869","1.939"
"77340006","R","6 A 10 AV CHARLES ROUXEL - Pontault-Combault",48.79836,48.79836,"77","Total Access","1.962","1.915","1.991"
"10123001","R","Avenue Charles de Refuge - Saint-André-les-Vergers",48.289,48.289,"10","Carrefour","1.952","1.896","1.952"
"57260001","R","105 Impasse Jean Laurain - Dieuze",48.811,48.811,"57","Supermarche Match",NA,NA,NA
"44500002","R","14 Avenue du Maréchal de Lattre de Tassigny - La Baule-Escoublac",47.279,47.279,"44","Avia",NA,NA,NA
"31700010","R","RD 902 - BLAGNAC",43.641,43.641,"31","Total Access","1.925","1.879",NA
"26200004","R","Avenue des Catalins - MONTéLIMAR",44.567,44.567,"26","Leclerc","1.91",NA,"1.929"
"26270007","R","1287 RN 7 - LES BLACHES - Cliousclat",44.72,44.72,"26","Total Access","1.913","1.863","1.942"
"44230003","R","2 Rue Pierre Mendès France - Saint-Sébastien-sur-Loire",47.192,47.192,"44","Auchan","1.899",NA,"1.949"
"49400004","R","ZI EcoparcSaint Lambert des Levées - SAUMUR",47.277,47.277,"49","Intermarche","1.886","1.839","1.929"
"59520001","R","Rue Georges Maertens - MARQUETTE-LEZ-LILLE",50.6633,50.6633,"59","Intermarche","1.909","1.879","1.929"
"69380004","R","473 Route de la Vallée - CIVRIEUX-D'AZERGUES",45.856,45.856,"69","Leclerc","1.899","1.849","1.929"
"51370002","R","La Croix MaurencienneZone Industrielle de St-Brice - SAINT-BRICE-COURCELLES",49.281,49.281,"51","Leclerc","1.915","1.881","1.968"
"62130001","R","184 Rue de Béthune - SAINT-POL-SUR-TERNOISE",50.387,50.387,"62","Total","2.009","1.968","2.078"
"47200002","R","PONT DES SABLES - Marmande",44.464,44.464,"47","Total","2.023","1.992","2.102"
"76150003","R","Rue des Martyrs de la Résistance - Maromme",49.482,49.482,"76","Systeme U","1.919","1.899","1.979"
"38150003","R","RN 7 - Chanas",45.32128,45.32128,"38","Dyneff","1.94","1.89",NA
"12200004","R","LIEU DIT BERNUSSOU - VILLEFRANCHE-DE-ROUERGUE",44.359,44.359,"12","Leclerc","1.889","1.829","1.899"
"32500001","R","Route de Lectoure - FLEURANCE",43.860269167696,43.860269167696,"32","Carrefour Market","1.949","1.959","1.999"
"53102002","R","582, rue du Prieuré de Berne - Mayenne",48.297981428724,48.297981428724,"53","Leclerc","1.909","1.886",NA
"44550001","R","C.C. DE LA BERNUAIS - MONTOIR-DE-BRETAGNE",47.327,47.327,"44","Systeme U","1.896","1.876","1.959"
"50500005","R","RUE DE LA GUINGUETTE - CARENTAN",49.29683,49.29683,"50","Intermarche","1.899","1.893","1.959"
"76190003","R","261, Avenue René COTY - Sainte-Marie-des-Champs",49.626,49.626,"76","Intermarche","1.919","1.859","1.919"
"70100003","R","20 Avenue du Maréchal Lyautey - GRAY",47.445,47.445,"70","Total","2.032","1.991","2.101"
"83150002","R","6 Route du Beausset - BANDOL",43.14936,43.14936,"83","Systeme U","1.909","1.859","1.959"
"20260003","R","Lieu dit Alzeta - Calvi",42.559,42.559,"20","VITO",NA,NA,NA
"29390002","R","23 RUE DU GENERAL DE GAULLE - SCAER",48.02,48.02,"29","Leclerc","1.899",NA,"1.899"
"50390001","R","ROUTE DE PORTBAIL - Saint-Sauveur-le-Vicomte",49.38604,49.38604,"50","Systeme U","1.939",NA,"1.999"
"71480003","A","A39 AIRE DU POULET DE BRESSE - Dommartin-lès-Cuiseaux",46.4961286,46.4961286,"71","Avia","2.139","2.129","2.229"
"62590001","R","38 Rue Émile Zola - Oignies",50.47,50.47,"62","Supermarche Match","1.89","1.82","1.9"
"49450005","R","30 rue des chevalliers de malte - Villedieu-la-Blouère",47.15263,47.15263,"49","Intermarche Contact",NA,NA,NA
"94430003","R","85 Route de Provins Cc Pincevent - Ormesson-sur-Marne",48.793,48.793,"94","Carrefour","1.945","1.902","1.966"
"63300003","R","52 Avenue Léo Lagrange - THIERS",45.848,45.848,"63","Elan","2.028","1.986",NA
"55600001","R","11 Avenue de Verdun - Montmédy",49.513,49.513,"55","Systeme U","1.959",NA,"1.999"
